系统ID,因子分组ID,因子通道ID,因子名称,专业缩写,单位,数值格式,分子量,因子类型
31,0,1032,炉膛顶部右侧温度,,℃,N3.1,,P
31,0,1035,炉膛中部左侧温度,,℃,N3.1,,P
31,0,1036,炉膛中部中间温度,,℃,N3.1,,P
31,0,1037,炉膛中部右侧温度,,℃,N3.1,,P
31,0,1040,炉膛底部左侧温度,,℃,N3.1,,P
31,0,1041,炉膛底部中间温度,,℃,N3.1,,P
31,0,1042,炉膛底部右侧温度,,℃,N3.1,,P
31,0,1045,二燃室温度,,℃,N3.1,,P
102,0,1,烟尘,,mg/m3,N5.2,,
102,0,2,二氧化硫,SO2,mg/m3,N5.2,64,
102,0,3,氮氧化物,Nox,mg/m3,N5.3,,
102,0,4,一氧化碳,CO,mg/m3,N2.3,28,
102,0,5,硫化氢,H2S,mg/m3,N3.2,34,
102,0,6,氟化物,,mg/m3,N2.3,20,
102,0,7,氰化物(含氰化氢),,mg/m3,N3.3,27,
102,0,8,氯化氢,HCl,mg/m3,N4.3,36.5,
102,0,9,沥青烟,,mg/m3,N4.3,,
102,0,10,氨,NH3,mg/m3,N4.3,17,
102,0,11,氯气,CL2,mg/m3,N4.3,71,
102,0,12,二硫化碳,CS2,mg/m3,N4.3,78,
102,0,13,硫醇,,mg/m3,N4.3,,
102,0,14,硫酸雾,,mg/m3,N4.3,,
102,0,15,铬酸雾,,mg/m3,N2.4,,
102,0,16,苯系物,,mg/m3,N4.2,78,
102,0,17,甲苯,,mg/m3,N4.2,78,
102,0,18,二甲苯,,mg/m3,N4.2,106,
102,0,19,甲醛,CHOH,mg/m3,N3.3,30,
102,0,20,苯并(a)芘,,mg/m3,N3.6,,
102,0,21,苯胺类,,mg/m3,N4.3,,
102,0,22,硝基苯类,,mg/m3,N3.4,,
102,0,23,氯苯类,,mg/m3,N4.3,,
102,0,24,光气,COCL2,mg/m3,N3.3,99,
102,0,25,非甲烷总烃,,mg/m3,N5.2,56,
102,0,26,乙醛,CH3OH,mg/m3,N3.4,32,
102,0,27,酚类,,mg/m3,N3.3,,
102,0,28,甲醇,,mg/m3,N5.2,,
102,0,29,氯乙烯,,mg/m3,N4.3,,
102,0,30,二氧化碳,CO2,%,N4.3,44,
102,0,102,汞及其化合物,HgO,mg/m3,N4.4,,
102,0,32,铅及其化合物,,mg/m3,N2.4,,
102,0,33,镉及其化合物,,mg/m3,N3.4,,
102,0,34,锡及其化合物,,mg/m3,N4.3,,
102,0,35,镍及其化合物,,mg/m3,N3.3,,
102,0,36,铍及其化合物,,mg/m3,N4.4,,
102,0,37,林格曼黑度,,mg/m3,N1.0,,
102,0,38,一氧化氮,NO,mg/m3,N5.3,30,
102,0,39,二氧化氮,NO2,mg/m3,N5.3,46,
102,0,90,总烃,,mg/m3,N5.2,56,
102,0,98,甲烷,,mg/m3,N4.2,,
102,0,800,苯,,mg/m3,N4.3,,
102,0,801,乙苯,,mg/m3,N4.3,,
102,0,810,三氯丙烷,,mg/m3,N4.3,,
102,0,811,甲基苯,,mg/m3,N4.3,,
102,0,901,含氧量,,%,N3.1,,P
102,0,902,烟气流速,,m/s,N5.2,,P
102,0,903,烟气温度,,℃,N3.1,,P
102,0,904,烟气动压,,kPa,N4.2,,P
102,0,905,烟气湿度,,%,N3.1,,P
102,0,906,制冷温度,,℃,N3.1,,P
102,0,907,烟道截面积,,m2,N4.2,,P
102,0,908,烟气压力,,kPa,N4.2,,P
102,0,909,真空度,,kPa,N4.2,,P
102,0,910,烟气全压,,kPa,N4.2,,P
102,0,911,当地大气压,,kPa,N4.2,,P
102,0,912,烟气瞬时流量,,m3/h,N14.2,,P
22,0,118,二氧化硫,SO2,ug/m3,N5.0,64,
22,0,119,氮氧化物,NOx,ug/m3,N5.0,,
22,0,120,一氧化氮,NO,ug/m3,N5.0,30,
22,0,121,二氧化氮,NO2,ug/m3,N5.0,46,
22,0,122,一氧化碳,CO,mg/m3,N2.1,28,
22,0,308,总碳烃,THC,mg/m3,N2.1,0,
22,0,315,甲烷,CH4,mg/m3,N2.1,0,
22,0,105,臭氧,O3,ug/m3,N5.0,48,
22,0,40,PM10,PM10,ug/m3,N5.0,,
22,0,41,PM2.5,PM2.5,ug/m3,N5.0,,
22,0,5,硫化氢,H2S,mg/m3,N3.2,34,
22,0,124,氨气,NH3,ug/m3,N4.3,17,
22,0,125,硫化合物,,ppm,N5.0,,
22,0,126,胺化合物,,ppm,N5.0,,
22,0,127,TVOC,TVOC,ppm,N5.0,56,
22,0,128,OU,,,N4.3,,
22,0,129,OI,,,N4.3,,
22,0,130,扬尘,TSP,ug/m3,N5.0,,
22,0,82,室温,RT,℃,N3.1,,P
22,0,83,湿度,H,%,N2.1,,P
22,0,108,大气温度,t,℃,N3.1,,P
22,0,109,大气湿度,RH,%,N2.1,,P
22,0,110,大气压力,AP,kPa,N6.1,,P
22,0,111,风速,WS,m/s,N3.1,,P
22,0,112,风向,WD,度,N3.1,,P
22,0,113,雨量,RF,mm/h,N3.1,,P
22,0,114,降水量,,mm,N6.1,,P
22,0,115,降雪量,,mm,N6.1,,P
22,0,151,总辐射,,W/m2,N6.1,,P
22,0,152,能见度,,km,N4.3,,P
22,0,201,AQI,,,N4.0,,P
22,0,202,首要污染物,,,N4.0,,P
22,0,301,车流量,,辆/时,N4.0,,P
22,0,800,NOy,NOy,ug/m3,N4.3,,
22,0,801,Nx,Nx,ug/m3,N4.3,,
22,0,802,PM1,PM1,ug/m3,N4.3,,
22,0,803,CO2,CO2,mg/m3,N4.3,,
22,0,1030,SO2截距,,,N4.4,,P
22,0,1031,SO2斜率,,,N4.3,,P
22,0,1032,NOx截距,,,N4.3,,P
22,0,1033,NOx斜率,,,N4.3,,P
22,0,1034,CO截距,,,N4.3,,P
22,0,1035,CO斜率,,,N4.3,,P
22,0,1036,O3截距,,,N4.3,,P
22,0,1037,O3斜率,,,N4.3,,P
22,0,1038,NOx压力,,,N4.3,,P
22,0,1039,NOx采样流量,,,N4.3,,P
22,0,1040,NOx臭氧流量,,,N4.3,,P
22,0,1041,NOx内部温度,,,N4.3,,P
22,0,1042,NOx反应室温度,,,N4.3,,P
22,0,1043,NOx制冷器温度,,,N4.3,,P
22,0,1044,NOx转换炉温度,,,N4.3,,P
22,0,1045,SO2压力,,,N4.3,,P
22,0,1046,SO2流量,,,N4.3,,P
22,0,1047,SO2紫外灯电压,,,N4.3,,P
22,0,1048,SO2紫外灯强度,,,N4.3,,P
22,0,1049,SO2内部温度,,,N4.3,,P
22,0,1050,SO2反应室温度,,,N4.3,,P
22,0,1051,CO压力,,,N4.3,,P
22,0,1052,CO流量,,,N4.3,,P
22,0,1053,CO内部温度,,,N4.3,,P
22,0,1054,CO光室温度,,,N4.3,,P
22,0,1055,CO偏置电压,,,N4.3,,P
22,0,1056,CO自动增益强度,,,N4.3,,P
22,0,1057,CO马达速度,,,N4.3,,P
22,0,1058,O3压力,,,N4.3,,P
22,0,1059,O3流量A,,,N4.3,,P
22,0,1060,O3流量B,,,N4.3,,P
22,0,1061,O3光强A,,,N4.3,,P
22,0,1062,O3光强B,,,N4.3,,P
22,0,1063,O3光室温度,,,N4.3,,P
22,0,1064,O3灯温度,,,N4.3,,P
22,0,1065,PM2.5采样温度,,,N4.3,,P
22,0,1066,PM2.5大气温度,,,N4.3,,P
22,0,1067,PM2.5大气压,,,N4.3,,P
22,0,1068,PM2.5真空度,,,N4.3,,P
22,0,1069,PM2.5流量压力,,,N4.3,,P
22,0,1070,PM2.5采样流量,,,N4.3,,P
22,0,1071,PM2.5相对湿度,,,N4.3,,P
22,0,1072,PM2.5浓度补偿因子,,,N4.3,,P
22,0,1073,PM10采样温度,,,N4.3,,P
22,0,1074,PM10大气温度,,,N4.3,,P
22,0,1075,PM10大气压,,,N4.3,,P
22,0,1076,PM10真空度,,,N4.3,,P
22,0,1077,PM10流量压力,,,N4.3,,P
22,0,1078,PM10采样流量,,,N4.3,,P
22,0,1079,PM10相对湿度,,,N4.3,,P
22,0,1080,PM10浓度补偿因子,,,N4.3,,P
22,0,1081,O3测量信号,,,N4.3,,P
22,0,1082,O3参比信号,,,N4.3,,P
22,0,1083,CO测量电压,,,N4.3,,P
22,0,1084,CO参比电压,,,N4.3,,P
22,0,1085,CO相关轮温度,,,N4.3,,P
22,0,1086,SO2参考PMT信号,,,N4.3,,P
22,0,1087,SO2高压电源,,,N4.3,,P
22,0,1088,NOx参考PMT信号,,,N4.3,,P
22,0,1089,NOx高压电源,,,N4.3,,P
22,0,1090,NOx反应室压力,,,N4.3,,P
22,0,1091,NO斜率,,,N4.3,,P
22,0,1092,NO截距,,,N4.3,,P
22,0,2000,NOx标准气压力,,MPa,N4.3,,
22,0,2001,样气温度,,℃,N4.3,,
22,0,2002,温度零气温度,,℃,N4.3,,
22,0,2003,采样杆温控器pv,,℃,N4.3,,
22,0,2004,样气湿度,,%,N4.3,,
22,0,2005,A电压,,V,N4.3,,
22,0,2006,B电压,,V,N4.3,,
22,0,2007,B电流,,A,N4.3,,
22,0,2008,C电压,,V,N4.3,,
22,0,2009,C电流,,A,N4.3,,
22,0,2010,空调1温度,,℃,N4.3,,
22,0,2011,空调2温度,,℃,N4.3,,
22,0,2012,空调2湿度,,%,N4.3,,
22,0,2013,样气流量,,L/min,N4.3,,
22,0,2014,SO2标准气压力,,MPa,N4.3,,
22,0,2015,CO标准气压力,,MPa,N4.3,,
22,0,2016,站房室内温度,,℃,N4.3,,
22,0,2017,站房室内湿度,,%,N4.3,,
22,0,2018,A电流,,A,N4.3,,
22,0,2019,UPS电流,,A,N4.3,,
22,0,2020,UPS电压,,V,N4.3,,
22,0,2021,烟雾,,,N4.3,,
22,0,2022,水漏,,,N4.3,,
22,0,2023,碳氢涤除器表面温度,,℃,,,
22,0,2024,零气标准气压力,,PSi,,,
23,0,905,累计百分声级L5,L5,dB,N3.1,,
23,0,910,累计百分声级L10,L10,dB,N3.1,,
23,0,950,累计百分声级L50,L50,dB,N3.1,,
23,0,990,累计百分声计L90,L90,dB,N3.1,,
23,0,995,累计百分声级L95,L95,dB,N3.1,,
23,0,801,夜间等效声级Ld,Ld,dB,N3.1,,
23,0,802,昼间等效声级Ln,Ln,dB,N3.1,,
23,0,803,昼夜等效声级Ldn,Ldn,dB,N3.1,,
23,0,804,30秒等效声级Leq,Leq,dB,N3.1,,
23,0,805,最小的瞬时声级,LMin,dB,N3.1,,
23,0,806,最大的瞬时声级,LMax,dB,N3.1,,
23,0,106,标准偏差SD,SD,dB,N3.1,,
23,0,107,数据采集率,Rate,%,N3.1,,
23,0,116,传声器的高度,,m,N3.1,,
101,10,1001,温度,温度,℃,N4.3,,
101,10,1002,湿度,湿度,%,N4.3,,
101,10,1006,气压,气压,kPa,N4.3,,
101,10,1007,风速,风速,m/s,N4.3,,
101,10,1008,风向,风向,度,N4.3,,
101,10,1020,能见度,能见度,,N4.3,,
101,10,1021,浑浊度,浑浊度,,N4.3,,
101,10,5001,二氧化碳,CO2,,N4.3,,
101,10,5024,臭氧,O3,ug/m3,N5.0,,
101,10,6005,硫酸根离子,SO42-,,N4.3,,
101,10,6006,硝酸根离子  ,NO3-,,N4.3,,
101,10,6008,氯离子  ,Cl-,,N4.3,,
101,10,6009,铵离子,NH4+,,N4.3,,
101,10,6010,钙离子  ,Ca2+,,N4.3,,
101,10,6011,镁离子,Mg2+,,N4.3,,
101,10,6012,钠离子,Na+,,N4.3,,
101,10,6013,钾离子  ,K+,,N4.3,,
101,12,4,锑,Sb,,N4.3,,
101,12,7,砷  ,As  ,,N4.3,,
101,12,12,钡,Ba  ,,N4.3,,
101,12,26,镉,Cd  ,,N4.3,,
101,12,29,钙,Ca,,N4.3,,
101,12,33,铬,Cr,,N4.3,,
101,12,38,钴,Co  ,,N4.3,,
101,12,41,铜,Cu,,N4.3,,
101,12,44,铅,Pb  ,,N4.3,,
101,12,55,锰  ,Mn  ,,N4.3,,
101,12,58,汞,Hg  ,,N4.3,,
101,12,64,镍  ,Ni  ,,N4.3,,
101,12,68,钾,K,,N4.3,,
101,12,72,硒,Se,,N4.3,,
101,12,89,铊,Tl,,N4.3,,
101,12,92,锡,Sn,,N4.3,,
101,12,95,钛,Ti,,N4.3,,
101,12,101,钒,V,,N4.3,,
101,12,102,Al,Al,,N4.3,,
101,12,104,锌  ,Zn  ,,N4.3,,
101,12,1001,氨,NH3,,N4.3,,
101,12,1002,氮氧化物,NOx,ug/m3,N5.0,,
101,12,1003,一氧化氮,NO,ug/m3,N5.0,,
101,12,1004,二氧化氮,NO2,ug/m3,N5.0,,
101,12,1005,一氧化碳,CO,mg/m3,N2.1,,
101,12,1024,氯化氢,HCl,ug/m3,N4.3,,
101,12,1026,二氧化硫,SO2,ug/m3,N5.0,,
101,13,4002,PM10,PM10,ug/m3,N5.0,,
101,13,4004,PM2.5,PM2.5,ug/m3,N5.0,,
101,13,4005,PM1.0,PM1.0,ug/m3,N4.3,,
101,13,4008,黑碳气溶胶,BC,,N4.3,,
101,13,4009,元素碳,EC,,N4.3,,
101,13,4010,有机碳,OC,,N4.3,,
101,21,9002,硝酸,HNO3,,N4.3,,
101,21,9001,亚硝酸,HNO2,,N4.3,,
101,21,9003,总碳,TC,,N4.3,,
101,21,9004,有机碳校正值,Opt OC,,N4.3,,
101,21,9005,元素碳校正值,Opt EC,,N4.3,,
101,22,1,铁,Fe,,N4.3,,
101,22,2,Si,Si,,N4.3,,
101,22,1001,Nx,Nx,ug/m3,N4.3,,
101,22,1002,NOy,NOy,ug/m3,N4.3,,
101,23,4001,黑碳气溶胶,BC-magee,ug/m3,N4.3,,
101,23,4002,黑碳气溶胶,BC-thermal,ug/m3,N4.3,,
101,23,4003,散射系数,bscat,Mm-1,N4.3,,
101,23,4004,光腔衰荡能见度,V光腔衰荡,Km,N4.3,,
